Month-Year,Rainfall Average,Average Temperature,Groundwater Levels
01-04-2019,0.829021096,31.74667,5.52
01-05-2019,0,33.43226,6.09
01-06-2019,18.96195855,33.62333,6.45
01-07-2019,108.3682398,31.59677,5.48
01-08-2019,170.4843456,31.3129,5.45
01-09-2019,207.4861629,29.55667,4.52
01-10-2019,369.6424654,28.47742,4.06
01-11-2019,97.74126834,28.07743,3.45
01-12-2019,208.6719161,26.45806,2.68
01-01-2020,44.87890553,26.39677,4.78
01-02-2020,0.210528865,27.3069,5.29
01-03-2020,0,28.74516,4.35
01-04-2020,16.30893523,30.51333,4.35
01-05-2020,0,32.55161,6.12
01-06-2020,24.1514203,32.18,6.69
01-07-2020,87.04973856,29.82258,5.21
01-08-2020,75.4373405,29.87419,5.3
01-09-2020,162.249864,28.74,5.07
01-10-2020,253.0013338,28.79677,4.63
01-11-2020,438.8010185,27.33333,2.98
01-12-2020,208.7601382,26.69,2.04
01-01-2021,122.1927634,25.2871,5.16
01-02-2021,7.437156081,24.80345,5.57
01-03-2021,0,27.0871,5.94
01-04-2021,19.37691158,29.71,6.33
01-05-2021,11.48430181,30.93548,6.57
01-06-2021,43.40905458,30.89,6.88
01-07-2021,260.4401859,29.39032,6.27
01-08-2021,185.4993285,29.12581,6.14
01-09-2021,93.65756083,28.8,5.79
01-10-2021,228.6255028,27.69355,5.49
01-11-2021,1061.642222,25.57667,2.59
01-12-2021,123.6062256,25.16452,3.45
01-01-2022,106.8,25.24839,3.41
01-02-2022,106.8,25.68571,3.84
01-03-2022,0,27.92903,4.66
01-04-2022,0,29.78667,5.34
01-05-2022,0,30.67742,5.44
01-06-2022,171.4,30.17667,4.95
01-07-2022,83.9,28.952,5.05
01-08-2022,101,30.2,5.08
01-09-2022,437.5,29.9,5.33
01-10-2022,141.5,28.6,5
01-11-2022,519.8,26.8,3.69
01-12-2022,263.3,25.6,3.93
01-01-2023,1.9,25.87096,4.12
01-02-2023,0.3,27.125,4.47
01-03-2023,58.5,28.77419,4.59
01-04-2023,1.1,31.4,5.1
01-05-2023,42.9,32.85483,5.46
01-06-2023,55,32.75,5.13
01-07-2023,85,30.96774,5.59
01-08-2023,125,30.125,4.96
01-09-2023,120,29.96666,4.51
01-10-2023,265,29.54838,4.71
01-11-2023,310,27.4,3.1
01-12-2023,155,26.48387,2.91
